license,Christian music,Classical music,Country,Electronic music,Hip hop music,Independent music,Jazz,Music (parent topic),Music of Asia,Music of Latin America,Action game,Action-adventure game,Casual game,Gaming (parent topic),Music video game,Puzzle video game,Reggae,Rhythm and blues,Rock music,Soul music,American football,Baseball,Basketball,Boxing,Cricket,Football,Role-playing video game,Simulation video game,Sports (parent topic),Sports game,Strategy video game,Golf,Humor,Ice hockey,Mixed martial arts,Motorsport,Performing arts,Tennis,Volleyball,Fashion,Fitness,Food,Hobby,Lifestyle (parent topic),Pets,Physical attractiveness [Beauty],Technology,Vehicles,Health,Knowledge,Military,Politics,Religion,Society (parent topic),Pop music,Racing video game,Movies,Professional wrestling,TV shows,Tourism,Business,Entertainment (parent topic)
creative commons,327411.3433333333,255490.74666666667,145308.09666666668,1314811.2866666666,1818510.5966666667,510662.06666666665,61611.07666666667,2804910.3266666667,1919514.68,1510072.8733333333,849982.9766666667,698973.1966666667,232480.31333333332,719873.97,110020.95,385621.1,392436.6533333333,372942.0266666667,702744.79,399417.3233333333,139467.30333333334,306382.3,76591.18,95587.6,155545.3,495028.1666666667,712601.13,91446.39333333333,617824.0,174140.2,598874.3033333333,41794.3,561029.43,18031.843333333334,50647.61,60692.223333333335,450458.0266666667,21077.44,29356.02,203679.83666666667,654197.7,426349.0833333333,719177.0133333333,885599.61,537895.1966666667,171507.55333333334,984000.69,373828.0266666667,314913.55333333334,788025.19,82461.24,778674.9633333334,191553.74666666667,1105410.3933333333,3214815.3533333335,155500.17333333334,841163.5933333334,38664.62666666666,1064024.56,1807910.7233333334,1784348.94,1153624.0166666666
youtube,20263654.756666668,5932099.993333333,40046630.96666667,60675970.623333335,85439142.59666666,69040134.14333333,6638922.444816054,74464207.12333333,3595432.38,87870796.53666666,1447476.9333333333,1315967.4933333334,851531.8166666667,1324079.8666666667,346821.4,712713.3466666667,45137442.09,70069468.40666667,31257026.19,56775082.28666667,442964.74666666664,796155.4666666667,1504123.1266666667,707010.0366666666,1872579.46,566776.73,1030385.56,1261919.1266666667,2723321.6166666667,646800.0633333334,659767.0933333334,647055.3333333334,1497091.6366666667,440441.86333333334,788138.94,907628.1366666667,4057028.75,576977.3,489135.88666666666,2014670.5666666667,1253430.84,1353993.47,1180929.6433333333,1224012.8566666667,2850933.1666666665,1936080.16,1819197.2066666668,952559.69,778977.3666666667,704338.4433333334,813867.55,1835207.9433333334,540531.35,1064527.9833333334,43926249.93666667,2716718.2666666666,3903088.62,345944.0366666667,2813948.86,14748591.99,14875855.636666667,5415489.106666666
